hyperedge_id,type,size,normal_count,abnormal_count,normal_ratio,abnormal_ratio,majority_label,majority_count,purity,entropy,is_bridge,vertices
HE_000000,knn,11,5,6,0.454545,0.545455,1,6,0.545455,0.994030,True,No13.jpg|no1064.jpg|no1296.jpg|no1493.jpg|no796.jpg|y1015.jpg|y1049.jpg|y1147.jpg|y1148.jpg|y1207.jpg|y920.jpg
HE_000001,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,No15.jpg|no1042.jpg|no1221.jpg|no294.jpg|no42.jpg|no421.jpg|no533.jpg|no733.jpg|no797.jpg|y1462.jpg|y743.jpg
HE_000002,knn,11,10,1,0.909091,0.090909,0,10,0.909091,0.439497,False,No19.jpg|no1092.jpg|no1094.jpg|no1130.jpg|no1331.jpg|no1346.jpg|no538.jpg|no631.jpg|no758.jpg|no948.jpg|y888.jpg
HE_000003,knn,11,10,1,0.909091,0.090909,0,10,0.909091,0.439497,False,no1005.jpg|no102.jpg|no1044.jpg|no1224.jpg|no1315.jpg|no361.jpg|no508.jpg|no68.jpg|no824.jpg|no938.jpg|y1381.jpg
HE_000004,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1011.jpg|no1253.jpg|no448.jpg|no719.jpg|no742.jpg|no786.jpg|no850.jpg|y136.jpg|y1496.jpg|y77.jpg|y794.jpg
HE_000005,knn,11,11,0,1.000000,0.000000,0,11,1.000000,0.000000,False,no1023.jpg|no1200.jpg|no1322.jpg|no1443.jpg|no157.jpg|no236.jpg|no29.jpg|no33.jpg|no411.jpg|no47.jpg|no952.jpg
HE_000006,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1025.jpg|no547.jpg|no713.jpg|y1197.jpg|y1461.jpg|y318.jpg|y54.jpg|y649.jpg|y698.jpg|y780.jpg|y915.jpg
HE_000007,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,no1029.jpg|no1274.jpg|no1454.jpg|no507.jpg|no538.jpg|no758.jpg|no759.jpg|no948.jpg|no949.jpg|y214.jpg|y871.jpg
HE_000008,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,no1034.jpg|no1269.jpg|no1321.jpg|no247.jpg|no444.jpg|no50.jpg|no521.jpg|no62.jpg|no765.jpg|y1389.jpg|y756.jpg
HE_000009,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1037.jpg|no1241.jpg|no280.jpg|no719.jpg|no728.jpg|no955.jpg|no995.jpg|y1293.jpg|y1468.jpg|y744.jpg|y868.jpg
HE_000010,knn,11,6,5,0.545455,0.454545,0,6,0.545455,0.994030,True,no1040.jpg|no1418.jpg|no404.jpg|no497.jpg|no552.jpg|no959.jpg|y1244.jpg|y734.jpg|y881.jpg|y889.jpg|y926.jpg
HE_000011,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,No15.jpg|no1042.jpg|no1221.jpg|no328.jpg|no42.jpg|no421.jpg|no533.jpg|no733.jpg|no797.jpg|y1462.jpg|y743.jpg
HE_000012,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1043.jpg|no296.jpg|no329.jpg|no392.jpg|no494.jpg|no776.jpg|no82.jpg|y1153.jpg|y730.jpg|y731.jpg|y876.jpg
HE_000013,knn,11,5,6,0.454545,0.545455,1,6,0.545455,0.994030,True,No13.jpg|no1064.jpg|no1296.jpg|no1493.jpg|no796.jpg|y1015.jpg|y1049.jpg|y1148.jpg|y1207.jpg|y124.jpg|y920.jpg
HE_000014,knn,11,6,5,0.545455,0.454545,0,6,0.545455,0.994030,True,no1067.jpg|no1268.jpg|no164.jpg|no44.jpg|no563.jpg|no564.jpg|y1299.jpg|y132.jpg|y728.jpg|y779.jpg|y877.jpg
HE_000015,knn,11,10,1,0.909091,0.090909,0,10,0.909091,0.439497,False,no1084.jpg|no1091.jpg|no1119.jpg|no1329.jpg|no143.jpg|no640.jpg|no645.jpg|no877.jpg|no904.jpg|no932.jpg|y960.jpg
HE_000016,knn,11,10,1,0.909091,0.090909,0,10,0.909091,0.439497,False,no1091.jpg|no1263.jpg|no1329.jpg|no162.jpg|no394.jpg|no645.jpg|no821.jpg|no877.jpg|no904.jpg|no932.jpg|y960.jpg
HE_000017,knn,11,10,1,0.909091,0.090909,0,10,0.909091,0.439497,False,No19.jpg|no1092.jpg|no1094.jpg|no1130.jpg|no1274.jpg|no1331.jpg|no1346.jpg|no507.jpg|no538.jpg|no631.jpg|y888.jpg
HE_000018,knn,11,11,0,1.000000,0.000000,0,11,1.000000,0.000000,False,No19.jpg|no1092.jpg|no1094.jpg|no1130.jpg|no1274.jpg|no1321.jpg|no1331.jpg|no1346.jpg|no507.jpg|no538.jpg|no631.jpg
HE_000019,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1116.jpg|no1161.jpg|no1429.jpg|no218.jpg|no256.jpg|no259.jpg|no910.jpg|y64.jpg|y678.jpg|y685.jpg|y810.jpg
HE_000020,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,no1084.jpg|no1091.jpg|no1119.jpg|no1329.jpg|no645.jpg|no821.jpg|no877.jpg|no904.jpg|no932.jpg|y109.jpg|y960.jpg
HE_000021,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,no1126.jpg|no1226.jpg|no125.jpg|no1448.jpg|no493.jpg|no554.jpg|no588.jpg|no890.jpg|no899.jpg|y1368.jpg|y1484.jpg
HE_000022,knn,11,5,6,0.454545,0.545455,1,6,0.545455,0.994030,True,no1132.jpg|no198.jpg|no243.jpg|no599.jpg|no894.jpg|y1030.jpg|y1081.jpg|y1126.jpg|y1222.jpg|y309.jpg|y402.jpg
HE_000023,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no1147.jpg|no696.jpg|y1182.jpg|y1359.jpg|y255.jpg|y334.jpg|y377.jpg|y527.jpg|y604.jpg|y71.jpg|y711.jpg
HE_000024,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1116.jpg|no1161.jpg|no1429.jpg|no218.jpg|no256.jpg|no259.jpg|no910.jpg|y513.jpg|y64.jpg|y685.jpg|y810.jpg
HE_000025,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,no1164.jpg|no1178.jpg|no1372.jpg|no1429.jpg|no1432.jpg|no256.jpg|no259.jpg|no626.jpg|no910.jpg|y255.jpg|y334.jpg
HE_000026,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,no1084.jpg|no1091.jpg|no1119.jpg|no1165.jpg|no143.jpg|no257.jpg|no640.jpg|no645.jpg|no877.jpg|y440.jpg|y960.jpg
HE_000027,knn,11,6,5,0.545455,0.454545,0,6,0.545455,0.994030,True,no1167.jpg|no1367.jpg|no220.jpg|no396.jpg|no590.jpg|no97.jpg|y1078.jpg|y1178.jpg|y440.jpg|y6.jpg|y992.jpg
HE_000028,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,no1168.jpg|no119.jpg|no33.jpg|no431.jpg|no65.jpg|no816.jpg|no817.jpg|no9.jpg|no933.jpg|y1366.jpg|y741.jpg
HE_000029,knn,11,8,3,0.727273,0.272727,0,8,0.727273,0.845351,False,no1164.jpg|no1178.jpg|no1372.jpg|no1432.jpg|no256.jpg|no259.jpg|no626.jpg|no910.jpg|y255.jpg|y334.jpg|y711.jpg
HE_000030,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1179.jpg|no353.jpg|no391.jpg|no432.jpg|no740.jpg|no856.jpg|no87.jpg|y1266.jpg|y1351.jpg|y1468.jpg|y758.jpg
